ads_pair,atypicality_average_diff
"0/100080.jpg, 0/100790.jpg",-1.0
"0/100080.jpg, 0/10200.jpg",0.0
"0/100080.jpg, 0/104190.jpg",-1.0
"0/100080.jpg, 0/10430.jpg",-0.3333333333333333
"0/100080.jpg, 0/104310.jpg",0.0
"0/100080.jpg, 0/105090.jpg",0.0
"0/100080.jpg, 0/105350.jpg",0.0
"0/100080.jpg, 0/105770.jpg",-0.3333333333333333
"0/100080.jpg, 0/107020.jpg",-1.0
"0/100080.jpg, 0/107550.jpg",-1.0
"0/100080.jpg, 0/107820.jpg",-1.0
"0/100080.jpg, 0/107890.jpg",-1.0
"0/100080.jpg, 0/108520.jpg",0.0
"0/100080.jpg, 0/108560.jpg",0.0
"0/100080.jpg, 0/109940.jpg",0.0
"0/100080.jpg, 0/112230.jpg",-0.3333333333333333
"0/100080.jpg, 0/112650.jpg",-0.6666666666666666
"0/100080.jpg, 0/116220.jpg",-1.0
"0/100080.jpg, 0/116290.jpg",0.0
"0/100080.jpg, 0/116350.jpg",-1.0
"0/100080.jpg, 0/11670.jpg",-1.0
"0/100080.jpg, 0/118970.jpg",-0.6666666666666666
"0/100080.jpg, 0/120160.jpg",-0.6666666666666666
"0/100080.jpg, 0/12030.jpg",-0.6666666666666666
"0/100080.jpg, 0/12180.jpg",0.0
"0/100080.jpg, 0/127450.jpg",0.0
"0/100080.jpg, 0/127490.jpg",-1.0
"0/100080.jpg, 0/127590.jpg",0.0
"0/100080.jpg, 0/127710.jpg",-0.3333333333333333
"0/100080.jpg, 0/131040.jpg",-0.6666666666666666
"0/100080.jpg, 0/13120.jpg",-0.3333333333333333
"0/100080.jpg, 0/13140.jpg",-1.0
"0/100080.jpg, 0/132350.jpg",-0.3333333333333333
"0/100080.jpg, 0/13310.jpg",-0.3333333333333333
"0/100080.jpg, 0/134420.jpg",0.0
"0/100080.jpg, 0/134830.jpg",0.0
"0/100080.jpg, 0/135170.jpg",-1.0
"0/100080.jpg, 0/135320.jpg",0.0
"0/100080.jpg, 0/136560.jpg",-1.0
"0/100080.jpg, 0/13670.jpg",-1.0
"0/100080.jpg, 0/136980.jpg",0.0
"0/100080.jpg, 0/137340.jpg",0.0
"0/100080.jpg, 0/137640.jpg",-0.3333333333333333
"0/100080.jpg, 0/140590.jpg",-1.0
"0/100080.jpg, 0/141450.jpg",-0.6666666666666666
"0/100080.jpg, 0/142460.jpg",-0.3333333333333333
"0/100080.jpg, 0/144880.jpg",-0.3333333333333333
"0/100080.jpg, 0/145360.jpg",0.0
"0/100080.jpg, 0/14560.jpg",-0.6666666666666666
"0/100080.jpg, 0/147350.jpg",0.0
"0/100080.jpg, 0/149220.jpg",0.0
"0/100080.jpg, 0/149440.jpg",-0.6666666666666666
"0/100080.jpg, 0/149710.jpg",-0.3333333333333333
"0/100080.jpg, 0/150630.jpg",0.0
"0/100080.jpg, 0/151740.jpg",-0.3333333333333333
"0/100080.jpg, 0/153260.jpg",0.0
"0/100080.jpg, 0/154650.jpg",-0.3333333333333333
"0/100080.jpg, 0/15520.jpg",-0.6666666666666666
"0/100080.jpg, 0/155330.jpg",-0.3333333333333333
"0/100080.jpg, 0/155550.jpg",0.0
"0/100080.jpg, 0/159880.jpg",-0.3333333333333333
"0/100080.jpg, 0/162200.jpg",0.0
"0/100080.jpg, 0/162380.jpg",0.0
"0/100080.jpg, 0/163080.jpg",-0.3333333333333333
"0/100080.jpg, 0/164370.jpg",0.0
"0/100080.jpg, 0/164410.jpg",0.0
"0/100080.jpg, 0/17870.jpg",-0.3333333333333333
"0/100080.jpg, 0/19090.jpg",0.0
"0/100080.jpg, 0/22500.jpg",0.0
"0/100080.jpg, 0/23370.jpg",-1.0
"0/100080.jpg, 0/24640.jpg",-0.3333333333333333
"0/100080.jpg, 0/25040.jpg",0.0
"0/100080.jpg, 0/25100.jpg",0.0
"0/100080.jpg, 0/27250.jpg",-0.6666666666666666
"0/100080.jpg, 0/28800.jpg",0.0
"0/100080.jpg, 0/29180.jpg",0.0
"0/100080.jpg, 0/29330.jpg",-0.3333333333333333
"0/100080.jpg, 0/29790.jpg",-1.0
"0/100080.jpg, 0/29940.jpg",-0.3333333333333333
"0/100080.jpg, 0/3100.jpg",-0.3333333333333333
"0/100080.jpg, 0/31560.jpg",0.0
"0/100080.jpg, 0/31760.jpg",-0.3333333333333333
"0/100080.jpg, 0/31790.jpg",-1.0
"0/100080.jpg, 0/32750.jpg",0.0
"0/100080.jpg, 0/33040.jpg",0.0
"0/100080.jpg, 0/33330.jpg",-0.3333333333333333
"0/100080.jpg, 0/33560.jpg",0.0
"0/100080.jpg, 0/34380.jpg",-1.0
"0/100080.jpg, 0/35290.jpg",-0.6666666666666666
"0/100080.jpg, 0/35880.jpg",-0.3333333333333333
"0/100080.jpg, 0/36610.jpg",-1.0
"0/100080.jpg, 0/39490.jpg",-0.3333333333333333
"0/100080.jpg, 0/40080.jpg",-0.3333333333333333
"0/100080.jpg, 0/41540.jpg",0.0
"0/100080.jpg, 0/41830.jpg",0.0
"0/100080.jpg, 0/42030.jpg",-0.6666666666666666
"0/100080.jpg, 0/42860.jpg",-0.3333333333333333
"0/100080.jpg, 0/44070.jpg",0.0
"0/100080.jpg, 0/44180.jpg",0.0
"0/100080.jpg, 0/45180.jpg",0.0
"0/100080.jpg, 0/46270.jpg",-1.0
"0/100080.jpg, 0/48330.jpg",-1.0
"0/100080.jpg, 0/49280.jpg",-1.0
"0/100080.jpg, 0/50570.jpg",0.0
"0/100080.jpg, 0/51120.jpg",0.0
"0/100080.jpg, 0/52780.jpg",-1.0
"0/100080.jpg, 0/52880.jpg",-1.0
"0/100080.jpg, 0/53430.jpg",-0.3333333333333333
"0/100080.jpg, 0/54530.jpg",-1.0
"0/100080.jpg, 0/57610.jpg",0.0
"0/100080.jpg, 0/58170.jpg",0.0
"0/100080.jpg, 0/58760.jpg",-1.0
"0/100080.jpg, 0/58820.jpg",-0.3333333333333333
"0/100080.jpg, 0/58920.jpg",-1.0
"0/100080.jpg, 0/6040.jpg",-0.3333333333333333
"0/100080.jpg, 0/60880.jpg",-0.6666666666666666
"0/100080.jpg, 0/61200.jpg",-0.6666666666666666
"0/100080.jpg, 0/61760.jpg",0.0
"0/100080.jpg, 0/62690.jpg",0.0
"0/100080.jpg, 0/62750.jpg",0.0
"0/100080.jpg, 0/63150.jpg",-0.3333333333333333
"0/100080.jpg, 0/63560.jpg",0.0
"0/100080.jpg, 0/63740.jpg",-0.3333333333333333
"0/100080.jpg, 0/65690.jpg",-0.3333333333333333
"0/100080.jpg, 0/6610.jpg",-0.3333333333333333
"0/100080.jpg, 0/66420.jpg",-1.0
"0/100080.jpg, 0/67040.jpg",-0.6666666666666666
"0/100080.jpg, 0/67140.jpg",-1.0
"0/100080.jpg, 0/67330.jpg",-0.6666666666666666
"0/100080.jpg, 0/70650.jpg",-1.0
"0/100080.jpg, 0/70690.jpg",0.0
"0/100080.jpg, 0/72640.jpg",0.0
"0/100080.jpg, 0/73270.jpg",-0.3333333333333333
"0/100080.jpg, 0/76480.jpg",0.0
"0/100080.jpg, 0/76500.jpg",0.0
"0/100080.jpg, 0/76610.jpg",-0.3333333333333333
"0/100080.jpg, 0/79100.jpg",0.0
"0/100080.jpg, 0/80810.jpg",-1.0
"0/100080.jpg, 0/80880.jpg",-0.3333333333333333
"0/100080.jpg, 0/82870.jpg",0.0
"0/100080.jpg, 0/84530.jpg",0.0
"0/100080.jpg, 0/84660.jpg",-0.6666666666666666
"0/100080.jpg, 0/85640.jpg",-1.0
"0/100080.jpg, 0/85660.jpg",-0.3333333333333333
"0/100080.jpg, 0/85760.jpg",-0.6666666666666666
"0/100080.jpg, 0/86630.jpg",-0.6666666666666666
"0/100080.jpg, 0/86710.jpg",-0.3333333333333333
"0/100080.jpg, 0/87010.jpg",-0.3333333333333333
"0/100080.jpg, 0/8800.jpg",-0.3333333333333333
"0/100080.jpg, 0/88850.jpg",0.0
