ads_id,creativity_distribution,creativity_value_count,creativity_average,creativity_disagreement,creativity_majority,creativity_majority_percentage,atypicality_distribution,atypicality_value_count,atypicality_average,atypicality_disagreement,atypicality_majority,atypicality_majority_percentage,originality_distribution,originality_value_count,originality_average,originality_disagreement,originality_majority,originality_majority_percentage
0/109120.jpg,"[3, 3, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3]","{1: 2, 2: 19, 3: 4}",2.08,0.23359999999999995,2,0.76,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3]","{1: 21, 3: 4}",1.32,0.5376,1,0.84,"[3, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 2, 3, 2, 1, 3]","{1: 13, 2: 8, 3: 4}",1.64,0.5504,1,0.52
0/139270.jpg,"[2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2]","{1: 2, 2: 21, 3: 2}",2.0,0.16,2,0.84,"[3, 1, 3, 1, 3, 2, 1, 2, 2, 2, 3, 2, 2, 1, 1, 3, 3, 1, 3, 3, 3, 3, 2, 3, 1]","{1: 7, 2: 7, 3: 11}",2.16,0.6944000000000001,3,0.44,"[3, 2, 3, 3, 3, 2, 2, 1, 1, 3, 3, 3, 2, 3, 1, 3, 3, 1, 3, 3, 1, 2, 1, 3, 1]","{1: 7, 2: 5, 3: 13}",2.24,0.7424000000000001,3,0.52
0/159310.jpg,"[3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 1, 3]","{1: 1, 2: 13, 3: 11}",2.4,0.31999999999999995,2,0.52,"[3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3]","{1: 1, 2: 3, 3: 21}",2.8,0.23999999999999996,3,0.84,"[3, 3, 3, 2, 3, 3, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3]","{1: 1, 2: 5, 3: 19}",2.72,0.2816,3,0.76
0/25580.jpg,"[3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 2, 1, 2, 3, 3]","{1: 1, 2: 14, 3: 10}",2.36,0.3104,2,0.56,"[3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3]","{2: 2, 3: 23}",2.92,0.07359999999999998,3,0.92,"[3, 1, 3, 3, 2, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3]","{1: 2, 2: 3, 3: 20}",2.72,0.36160000000000003,3,0.8
0/52390.jpg,"[2, 2, 2, 2, 2, 3, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","{1: 2, 2: 21, 3: 2}",2.0,0.16,2,0.84,"[2, 2, 2, 1, 3, 3, 1, 3, 2, 1, 2, 3, 3, 3, 1, 1, 2, 1, 2, 3, 2, 1, 2, 3, 2]","{1: 7, 2: 10, 3: 8}",2.04,0.5984,2,0.4,"[3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3]","{2: 6, 3: 19}",2.76,0.18239999999999998,3,0.76
0/81460.jpg,"[2, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 1, 2, 3, 2]","{1: 2, 2: 18, 3: 5}",2.12,0.2656,2,0.72,"[2, 3, 1, 3, 1, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 1, 3, 2, 3, 3, 3, 3, 3, 3]","{1: 3, 2: 6, 3: 16}",2.52,0.4895999999999999,3,0.64,"[3, 3, 1, 2, 2, 1, 2, 3, 3, 2, 2, 3, 3, 1, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3]","{1: 3, 2: 7, 3: 15}",2.48,0.48960000000000004,3,0.6
0/84620.jpg,"[2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 1, 3, 2, 2, 1, 2, 2, 2]","{1: 2, 2: 19, 3: 4}",2.08,0.23359999999999995,2,0.76,"[1, 3, 2, 3, 1, 3, 2, 3, 3, 2, 2, 3, 3, 2, 1, 1, 2, 2, 3, 1, 3, 3, 3, 2, 1]","{1: 6, 2: 8, 3: 11}",2.2,0.64,3,0.44,"[3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1]","{1: 1, 2: 4, 3: 20}",2.76,0.2624,3,0.8
0/85300.jpg,"[1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 3, 2]","{1: 5, 2: 19, 3: 1}",1.84,0.2144,2,0.76,"[1, 3, 2, 2, 3, 1, 2, 3, 3, 3, 3, 2, 1, 3, 3, 3, 3, 3, 2, 1, 2, 3, 1, 3, 1]","{1: 6, 2: 6, 3: 13}",2.28,0.6816000000000001,3,0.52,"[1, 3, 1, 2, 3, 1, 3, 3, 3, 2, 3, 1, 1, 3, 2, 2, 3, 3, 3, 2, 2, 3, 1, 3, 1]","{1: 7, 2: 6, 3: 12}",2.2,0.72,3,0.48
0/95250.jpg,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 3, 2]","{1: 1, 2: 20, 3: 4}",2.12,0.18560000000000001,2,0.8,"[1, 1, 1, 2, 3, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 2, 2, 1, 3, 3, 2, 3, 2]","{1: 10, 2: 10, 3: 5}",1.8,0.56,1,0.4,"[3, 1, 1, 3, 3, 2, 3, 2, 1, 1, 3, 2, 3, 3, 1, 3, 2, 3, 3, 1, 3, 3, 3, 3, 3]","{1: 6, 2: 4, 3: 15}",2.36,0.7104,3,0.6
1/108011.jpg,"[3, 2, 2, 2, 3, 2, 2, 3, 2, 1, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3]","{1: 3, 2: 17, 3: 5}",2.08,0.31360000000000005,2,0.68,"[3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 1, 1, 3, 3, 2, 1, 3, 3, 3, 3, 3, 2, 3, 3]","{1: 3, 2: 6, 3: 16}",2.52,0.4895999999999999,3,0.64,"[3, 1, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 1, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3]","{1: 2, 2: 4, 3: 19}",2.68,0.3776,3,0.76
