HITId,AssignmentId,WorkerId,Input.ads_id,Input.atypical,Input.topic,Input.action_a,Input.action_b,Input.action_c,Input.action_d,Input.action_e,Input.action_correct,Answer.age.age_18,Answer.age.age_18_24,Answer.age.age_25_34,Answer.age.age_35_44,Answer.age.age_45_54,Answer.age.age_55_64,Answer.age.age_65,Answer.age.unknown,Answer.artistic_1.agree,Answer.artistic_1.disagree,Answer.artistic_1.neutral,Answer.artistic_2.agree,Answer.artistic_2.disagree,Answer.artistic_2.neutral,Answer.artistic_3.agree,Answer.artistic_3.disagree,Answer.artistic_3.neutral,Answer.atypicality_1.agree,Answer.atypicality_1.disagree,Answer.atypicality_1.neutral,Answer.atypicality_2.agree,Answer.atypicality_2.disagree,Answer.atypicality_2.neutral,Answer.atypicality_3.agree,Answer.atypicality_3.disagree,Answer.atypicality_3.neutral,Answer.effectiveness.a,Answer.effectiveness.b,Answer.effectiveness.c,Answer.effectiveness.d,Answer.effectiveness.e,Answer.overall.1,Answer.overall.2,Answer.overall.3,Answer.overall.4,Answer.overall.5,Answer.pc_1.agree,Answer.pc_1.disagree,Answer.pc_1.neutral,Answer.pc_2.agree,Answer.pc_2.disagree,Answer.pc_2.neutral,Answer.pc_3.agree,Answer.pc_3.disagree,Answer.pc_3.neutral,Answer.worker_feedbacks,Answer.worker_location_live,Input.topic_text,Input.super_topic,Answer.ethnicity.no,Answer.ethnicity.not_say,Answer.ethnicity.yes,Answer.gender.female,Answer.gender.male,Answer.gender.nb,Answer.gender.not_say,Answer.growing_up,Answer.race.american_indian,Answer.race.asian,Answer.race.black,Answer.race.hawaiian,Answer.race.not_say,Answer.race.other_race,Answer.race.white,unique_id,effectiveness_correct,value_pc_1,value_pc_2,value_pc_3,acc_raw_pc,acc_th0_pc,acc_th3_pc,acc_single_pc,acc_norm_raw_pc,acc_norm_th0_pc,acc_norm_th3_pc,value_atypicality_1,value_atypicality_2,value_atypicality_3,acc_raw_atypicality,acc_th0_atypicality,acc_th3_atypicality,acc_single_atypicality,acc_norm_raw_atypicality,acc_norm_th0_atypicality,acc_norm_th3_atypicality,value_artistic_1,value_artistic_2,value_artistic_3,acc_raw_artistic,acc_th0_artistic,acc_th3_artistic,acc_single_artistic,acc_norm_raw_artistic,acc_norm_th0_artistic,acc_norm_th3_artistic,value_effectiveness,value_overall,demo_location,demo_age,value_overall_norm
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,30MVJZJNH6T6VQWYAMSCDWDEUJSJ9U,A1DMXEJGJY02E1,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,,USA,,,,,,,,,,,,,,,,,,0,True,1,0,1,2,1,0,1,1,1,0,-1,0,-1,-2,0,0,0,-1,0,0,1,1,1,3,1,1,1,1,1,0,b,4,USA,40,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,33CID5710O9QBEVIWY3F2YNKXMO3LB,A3RVHUY67SVXQV,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,USA,,,,,,,,,,,,,,,,,,1,True,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,b,4,USA,40,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,33TIN5LC0OQWQFRXWMTFNJS27JX9Y2,A41APS6V2Z1FJ,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,,US,,,,,,,,,,,,,,,,,,2,True,-1,0,0,-1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,3,1,1,1,1,1,0,b,3,US,50,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,388U7OUMFRH5XKRYIVISMCYC4YN0RT,A15X8ATAWSRXIF,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,USA,,,,,,,,,,,,,,,,,,3,True,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,b,4,USA,50,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3BXQMRHWKJEUGQQMBU0VPKS9B3FMUK,A2XZLEY2RCF5VM,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,,Canada,,,,,,,,,,,,,,,,,,4,True,1,0,1,2,1,0,1,1,1,0,-1,-1,-1,-3,0,0,0,-1,0,0,1,1,1,3,1,1,1,1,1,0,b,4,Canada,40,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3CCZ6YKWRRZYORHDLKOICMU9E6695L,A5WWHKD82I8UE,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,,USA,,,,,,,,,,,,,,,,,,5,True,1,0,1,2,1,0,1,1,1,0,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,b,2,USA,40,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3DL65MZB8XV0I8H985RCI61UTLCCE8,A34YDGVZKRJ0LZ,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,,usa,,,,,,,,,,,,,,,,,,6,False,1,1,1,3,1,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,1,0,1,2,1,0,1,1,1,0,c,5,usa,60,1
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3K5TEWLKGFR8XMPVV5C8TDNBBT5VIQ,A3B7TNVOISSZ2O,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,,United States of America,,,,,,,,,,,,,,,,,,7,True,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,0,b,4,United States of America,50,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3KGTPGBS6H149MMT1CHBABEB8UHU2F,A3PUUVUDORJS8W,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,,England,,,,,,,,,,,,,,,,,,8,True,1,0,1,2,1,0,1,1,1,0,1,1,1,3,1,1,1,1,1,0,1,1,0,2,1,0,1,1,1,0,b,4,England,30,0
3WPCIUYH2TO9QZ7Q8U6GCEOMIHRTDG,3M0NZ3JDPLEDUIZQPIIHPAW2QDL5ZS,A3W0SCW5UYEB0F,0/84620.jpg,True,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,,United States,,,,,,,,,,,,,,,,,,9,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,0,b,4,United States,60,0
