HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.ads_id,Input.atypical,Input.image_url,Input.topic,Input.example_1,Input.example_2,Input.action_a,Input.action_b,Input.action_c,Input.action_d,Input.action_e,Input.action_correct,Answer.age.age_18,Answer.age.age_18_24,Answer.age.age_25_34,Answer.age.age_35_44,Answer.age.age_45_54,Answer.age.age_55_64,Answer.age.age_65,Answer.age.unknown,Answer.artistic_1.agree,Answer.artistic_1.disagree,Answer.artistic_1.neutral,Answer.artistic_2.agree,Answer.artistic_2.disagree,Answer.artistic_2.neutral,Answer.artistic_3.agree,Answer.artistic_3.disagree,Answer.artistic_3.neutral,Answer.atypicality_1.agree,Answer.atypicality_1.disagree,Answer.atypicality_1.neutral,Answer.atypicality_2.agree,Answer.atypicality_2.disagree,Answer.atypicality_2.neutral,Answer.atypicality_3.agree,Answer.atypicality_3.disagree,Answer.atypicality_3.neutral,Answer.effectiveness.a,Answer.effectiveness.b,Answer.effectiveness.c,Answer.effectiveness.d,Answer.effectiveness.e,Answer.overall.1,Answer.overall.2,Answer.overall.3,Answer.overall.4,Answer.overall.5,Answer.pc_1.agree,Answer.pc_1.disagree,Answer.pc_1.neutral,Answer.pc_2.agree,Answer.pc_2.disagree,Answer.pc_2.neutral,Answer.pc_3.agree,Answer.pc_3.disagree,Answer.pc_3.neutral,Answer.worker_feedbacks,Answer.worker_location_live,Approve,Reject
3ODOP6T3BB0264UKW4LR8NLQ5ON42I,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,3QECW5O0K1HH86QRJQTZ3MVL3UV5TW,A1TTSDPGBHOO9P,Submitted,Mon May 13 14:15:34 PDT 2024,Mon May 13 14:17:32 PDT 2024,Mon May 20 14:17:32 PDT 2024,,,,118,100% (9/9),100% (9/9),100% (9/9),0/84620.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/84620.jpg,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,USA,,
3ODOP6T3BB0264UKW4LR8NLQ5ON42I,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,3FDJT1UU7OOI5N04PHF72V8PKHBK5C,A3NGN0SM7SBYB9,Submitted,Mon May 13 14:42:17 PDT 2024,Mon May 13 14:43:06 PDT 2024,Mon May 20 14:43:06 PDT 2024,,,,49,100% (10/10),100% (10/10),100% (10/10),0/84620.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/84620.jpg,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,USA,,
3ODOP6T3BB0264UKW4LR8NLQ5ON42I,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,34S9DKFK7N5HFHVRXWCK5KNM9IWYNP,A2Y7FD1D7PUGBL,Submitted,Mon May 13 15:43:51 PDT 2024,Mon May 13 15:46:20 PDT 2024,Mon May 20 15:46:20 PDT 2024,,,,149,0% (0/0),0% (0/0),0% (0/0),0/84620.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/84620.jpg,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,Venezuela,,
3ODOP6T3BB0264UKW4LR8NLQ5ON42I,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,3E13VNJ1N7BSBA9XORSJMPGVGYGI1I,ACI8PUCF5OPDC,Submitted,Mon May 13 17:43:03 PDT 2024,Mon May 13 17:46:03 PDT 2024,Mon May 20 17:46:03 PDT 2024,,,,180,100% (4/4),100% (4/4),100% (4/4),0/84620.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/84620.jpg,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Good,India,,
3ODOP6T3BB0264UKW4LR8NLQ5ON42I,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,3OLQQLKKNC5NQMNFIX8Y5AEPIMEJEJ,A16184N1RO5OJV,Submitted,Mon May 13 18:21:20 PDT 2024,Mon May 13 18:22:34 PDT 2024,Mon May 20 18:22:34 PDT 2024,,,,74,0% (0/0),0% (0/0),0% (0/0),0/84620.jpg,TRUE,https://people.cs.pitt.edu/~mzhang/image_ads/0/84620.jpg,"""Media and arts (TV shows, movies, musicals, books, audio books, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should get a porsche,I should get some tap shoes.,i should try this product,I should eat kfc,i should want to go here,b,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,USA,,
3D4BBDG700CUMQ3ITJ5EAV263F4C3E,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,3Q5ZZ9ZEV8VYAMY3GSI4CQZYPH1851,A3NGN0SM7SBYB9,Submitted,Mon May 13 13:15:55 PDT 2024,Mon May 13 13:20:44 PDT 2024,Mon May 20 13:20:44 PDT 2024,,,,289,100% (10/10),100% (10/10),100% (10/10),0/85300.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/0/85300.jpg,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,USA,,
3D4BBDG700CUMQ3ITJ5EAV263F4C3E,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,3L6L49WXWKDXRLB14PSRVEJTNVB45W,A1TTSDPGBHOO9P,Submitted,Mon May 13 13:55:08 PDT 2024,Mon May 13 13:57:11 PDT 2024,Mon May 20 13:57:11 PDT 2024,,,,123,100% (9/9),100% (9/9),100% (9/9),0/85300.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/0/85300.jpg,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NONE,USA,,
3D4BBDG700CUMQ3ITJ5EAV263F4C3E,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,39GAF6DQWBGXXGTXNYR21E6POZMV10,A2Y7FD1D7PUGBL,Submitted,Mon May 13 15:27:08 PDT 2024,Mon May 13 15:29:19 PDT 2024,Mon May 20 15:29:19 PDT 2024,,,,131,0% (0/0),0% (0/0),0% (0/0),0/85300.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/0/85300.jpg,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Venezuela,,
3D4BBDG700CUMQ3ITJ5EAV263F4C3E,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,3RSDURM96U2DLBIE4X91FXTDVQKYEP,ACI8PUCF5OPDC,Submitted,Mon May 13 18:02:30 PDT 2024,Mon May 13 18:08:44 PDT 2024,Mon May 20 18:08:44 PDT 2024,,,,374,100% (4/4),100% (4/4),100% (4/4),0/85300.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/0/85300.jpg,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Little confused about this image. Not sure if this is an ad or not.,India,,
3D4BBDG700CUMQ3ITJ5EAV263F4C3E,3XYCBL6ZTWC5XH5EFXNQQ6TNVASS2A,Is this advertisement creative?,Rate the level of creativity of a given ad image from a variety of perspectives,"survey, creativity, advertisement",$0.24 ,Mon May 13 12:51:09 PDT 2024,5,BatchId:5221695;OriginalHitTemplateId:928390912;,3600,604800,Mon May 20 12:51:09 PDT 2024,,,3B4YI393VTCHZ8BN6M1HMS9RF0DSSU,A1DMXEJGJY02E1,Submitted,Tue May 14 08:16:03 PDT 2024,Tue May 14 08:16:49 PDT 2024,Tue May 21 08:16:49 PDT 2024,,,,46,0% (0/0),0% (0/0),0% (0/0),0/85300.jpg,FALSE,https://people.cs.pitt.edu/~mzhang/image_ads/0/85300.jpg,"""Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)"" ",https://people.cs.pitt.edu/~mzhang/image_ads/10/171001.png,https://people.cs.pitt.edu/~mzhang/image_ads/0/10290.jpg,I should visit this place,I should buy these undergarments.,I should take photos when I travel.,I should buy this product because it provides many toy figures at a low price that is far below the retail price.,I should use Olay soap,c,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,United States,,
